date_tm,Time, Sample
2018-11-30 19:08:38.039000+00:00,2018-11-30T19:08:38.039000Z,38019
2018-11-30 19:08:42.039000+00:00,2018-11-30T19:08:42.039000Z,38019
2018-11-30 19:08:46.039000+00:00,2018-11-30T19:08:46.039000Z,38016
2018-11-30 19:08:50.039000+00:00,2018-11-30T19:08:50.039000Z,38017
2018-11-30 19:08:54.039000+00:00,2018-11-30T19:08:54.039000Z,38017
2018-11-30 19:08:58.039000+00:00,2018-11-30T19:08:58.039000Z,38018
2018-11-30 19:09:02.039000+00:00,2018-11-30T19:09:02.039000Z,38019
2018-11-30 19:09:06.039000+00:00,2018-11-30T19:09:06.039000Z,38018
2018-11-30 19:09:10.039000+00:00,2018-11-30T19:09:10.039000Z,38017
2018-11-30 19:09:14.039000+00:00,2018-11-30T19:09:14.039000Z,38016
2018-11-30 19:09:18.039000+00:00,2018-11-30T19:09:18.039000Z,38016
2018-11-30 19:09:22.039000+00:00,2018-11-30T19:09:22.039000Z,38016
2018-11-30 19:09:26.039000+00:00,2018-11-30T19:09:26.039000Z,38017
2018-11-30 19:09:30.039000+00:00,2018-11-30T19:09:30.039000Z,38016
2018-11-30 19:09:34.039000+00:00,2018-11-30T19:09:34.039000Z,38017
2018-11-30 19:09:38.039000+00:00,2018-11-30T19:09:38.039000Z,38017
2018-11-30 19:09:42.039000+00:00,2018-11-30T19:09:42.039000Z,38016
2018-11-30 19:09:46.039000+00:00,2018-11-30T19:09:46.039000Z,38016
2018-11-30 19:09:50.039000+00:00,2018-11-30T19:09:50.039000Z,38016
2018-11-30 19:09:54.039000+00:00,2018-11-30T19:09:54.039000Z,38016
2018-11-30 19:09:58.039000+00:00,2018-11-30T19:09:58.039000Z,38016
2018-11-30 19:10:02.039000+00:00,2018-11-30T19:10:02.039000Z,38016
2018-11-30 19:10:06.039000+00:00,2018-11-30T19:10:06.039000Z,38016
2018-11-30 19:10:10.039000+00:00,2018-11-30T19:10:10.039000Z,38017
2018-11-30 19:10:14.039000+00:00,2018-11-30T19:10:14.039000Z,38016
2018-11-30 19:10:18.039000+00:00,2018-11-30T19:10:18.039000Z,38016
2018-11-30 19:10:22.039000+00:00,2018-11-30T19:10:22.039000Z,38016
2018-11-30 19:10:26.039000+00:00,2018-11-30T19:10:26.039000Z,38016
2018-11-30 19:10:30.039000+00:00,2018-11-30T19:10:30.039000Z,38016
2018-11-30 19:10:34.039000+00:00,2018-11-30T19:10:34.039000Z,38016
